id,name,category,state,kcal,protein_g,fat_g,carbs_g,fiber_g,sodium_mg,refuse_pct,cooked_yield,density_g_per_ml
rajma,Rajma / Kidney Beans,pulse,raw,333,24.0,0.8,60.0,25.0,12,0,2.40,
kabuli_chana,Chickpeas / Kabuli Chana,pulse,raw,364,19.3,6.0,60.7,17.4,24,0,2.40,
soya_chunks,Soya Chunks,pulse,raw,345,52.0,0.5,33.0,13.0,20,0,2.80,
tofu,Tofu,pulse,raw,76,8.1,4.8,1.9,0.3,7,0,1.00,
peanuts,Peanuts,nut,raw,567,25.8,49.2,16.1,8.5,18,0,1.00,
almonds,Almonds,nut,raw,579,21.2,49.9,21.6,12.5,1,0,1.00,
cashew,Cashew Nuts,nut,raw,553,18.2,43.9,30.2,3.3,12,0,1.00,
sesame_seeds,Sesame Seeds,nut,raw,573,17.7,49.7,23.4,11.8,11,0,1.00,
sugar,Sugar,sweetener,raw,387,0,0,100,0,1,0,1.00,
jaggery,Jaggery / Gur,sweetener,raw,383,0.4,0.1,97.9,0,30,0,1.00,
honey,Honey,sweetener,raw,304,0.3,0,82.4,0.2,4,0,1.00,1.42
salt,Salt,seasoning,raw,0,0,0,0,0,38758,0,1.00,
turmeric_powder,Turmeric Powder,spice,raw,312,9.7,3.2,67.1,22.7,27,0,1.00,
chilli_powder,Red Chilli Powder,spice,raw,282,12.3,14.3,49.7,34.8,30,0,1.00,
coriander_powder,Coriander Powder,spice,raw,298,12.4,17.8,55.0,41.9,35,0,1.00,
cumin_seeds,Cumin Seeds / Jeera,spice,raw,375,17.8,22.3,44.2,10.5,168,0,1.00,
mustard_seeds,Mustard Seeds,spice,raw,508,26.1,36.2,28.1,12.2,13,0,1.00,
garam_masala,Garam Masala,spice,raw,379,14.0,15.0,45.0,25.0,40,0,1.00,
black_pepper,Black Pepper,spice,raw,251,10.4,3.3,63.9,25.3,20,0,1.00,
asafoetida,Asafoetida / Hing,spice,raw,297,4.0,1.1,67.8,4.1,50,0,1.00,
kasuri_methi,Kasuri Methi,spice,raw,323,23.0,6.4,58.4,24.6,67,0,1.00,
banana,Banana,fruit,raw,89,1.1,0.3,22.8,2.6,1,35,1.00,
apple,Apple,fruit,raw,52,0.3,0.2,13.8,2.4,1,10,1.00,
mango,Mango,fruit,raw,60,0.8,0.4,15.0,1.6,1,32,1.00,
water,Water,other,raw,0,0,0,0,0,0,0,1.00,1.00
